name,city,id,external_id,overwrite,state,country,capacity_mwh,estimate_mwh,power_mw,customer,owner,developer,manufacturer,type,cells,no_of_battery_units,status,date_first_heard,start_construction,start_operation,start_estimated,cost_million,cost_currency,cost_incl_solar,lat,long,coords_hint,coords_hint_2,use_case,notes,project_website,link1,link2,link3,link4
Kapolei Energy Storage,,1,,,hawaii,usa,565,,185,Hawaiian Electric,,,tesla,megapack,,158,construction,,2021-08-25,,,,,,21.328169,-158.105085,1,,"island, black start",,https://www.kapoleienergystorage.com/overview,https://www.tesmanian.com/blogs/tesmanian-blog/tesla-565-mwh-megapack-project-in-hawaii-celebrates-groundbreaking-ceremony,,,
Victorian Big Battery,geelong,2,,,victoria,australia,450,,300,Neoen Australia,,,tesla,megapack,,212,operation,2020-11-01,2021-01-01,2021-12-08,,,,,-38.037741,144.290949,1,,,"incident: fire of 2 megapacks on 30.7.2021, burned for ca 3 days, the site was not live yet, it happened during a internal test ** 2021-09-03 moving project back to construction",https://victorianbigbattery.com.au/,https://www.teslarati.com/telsa-megpack-victorian-big-battery-launched/,https://techau.com.au/victorias-grid-just-got-greener-thanks-to-212-tesla-megapack-batteries-300mw-450mwh/,https://www.bestmag.co.uk/indnews/tesla%E2%80%99s-lithium-ion-megapack-causes-three-day-fire-during-test-australian-300mw-ess,https://www.energy-storage.news/victorian-big-battery-australias-biggest-battery-storage-system-at-450mwh-is-online/
Saticoy,oxnard / los angeles,3,63891,,california,usa,400,,100,Arevon,,,tesla,megapack,,142,operation,,2020-10-01,2021-06-29,,,,,34.25773,-119.158534,1,,peaker plant replacement,,,https://electrek.co/2021/06/30/tesla-megapacks-power-on-battery-replacing-gas-peaker-plant-california/,https://www.prnewswire.com/news-releases/arevon-powers-oxnard-forward-with-saticoy-battery-storage-project-301321788.html,https://arevonenergy.com/location/saticoy/,
California Flats,monterey county,4,,,california,usa,240,,130,Apple,,,tesla,megapack,,85,planning,2021-03-21,,,,,,,35.87009,-120.326403,1,,130MW solar farm support,,,https://www.teslarati.com/tesla-megapack-apple-solar-farm-california/,https://www.apple.com/newsroom/2021/03/apple-powers-ahead-in-new-renewable-energy-solutions-with-over-110-suppliers/,https://www.firstsolar.com/en/Resources/Projects/California-Flats,
Nofar Israel,,5,,,,israel,,,100,Nofar Energy,,,tesla,megapack,,,planning,2021-03-16,,,,,,,31.961747,34.835081,0,,150mw solar farm support,,,https://www.tesmanian.com/blogs/tesmanian-blog/tsla-receives-30-million-order-for-energy-storage-system-from-nofar-energy,,,
Gambit,angleton / houston,6,64528,,texas,usa,,,100,Tesla Subsidiary,,,tesla,megapack,,,construction,2021-03-08,2021-03-08,,,,,,29.168189,-95.445369,1,,tesla as energy providor,"drone video only show ca 130 white boxes and each is 2 megapacks, there is a vistra battery close by that is even bigger",,https://www.teslarati.com/tesla-texas-big-battery-report/,https://www.bloomberg.com/news/features/2021-03-08/tesla-is-plugging-a-secret-mega-battery-into-the-texas-grid,https://www.youtube.com/watch?v=OottNRdebs8,
Moss landing / Elkhorn,close to santa cruz,7,62564,,california,usa,730,,182,PG&E,,,tesla,megapack,,256,operation,,2020-07-01,2021-04-01,,,,,36.807971,-121.781701,1,,,"in 2020, 64mwh were added",,https://www.teslarati.com/tesla-megapack-battery-moss-landing-completion-video/,https://en.wikipedia.org/wiki/Tesla_Megapack,,
Hornsdale Power Reserve,hornsdale,8,,,south australia,australia,194,,150,Neoen Australia,,,tesla,powerpack,,,operation,2017-03-10,2017-08-01,2017-12-01,,,,,-33.085797,138.518339,1,,316MW wind farm support,42 power packs,https://hornsdalepowerreserve.com.au/,https://en.wikipedia.org/wiki/Hornsdale_Power_Reserve,,,
Osaka Trains,Osaka,9,,,,japan,12,,,,,,tesla,powerpack,,42,operation,,,2019-03-27,,,,,34.701231,135.494584,0,,train station backup,,,https://www.teslarati.com/telsa-powerpack-osaka-japan/,,,
Hokkaido,,10,,,,japan,6,,,,,,tesla,megapack,,,planning,2021-08-19,,,,,,,43.325369,142.589328,0,,,,,https://www.bloomberg.com/news/articles/2021-08-19/tesla-plotting-battery-storage-entry-into-japan-s-power-market,,,
Vallecito Energy Storage Resilience (VESR),carpinteria / santa barbara county,11,62801,,california,usa,40,,10,Clean Coalition,,,tesla,megapack,,15,operation,,2020-11-05,2021-03-31,,,,,34.408083,-119.512937,1,,,,,https://www.tesmanian.com/blogs/tesmanian-blog/tesla-begins-installation-of-15-megapacks-at-carpinteria-santa-barbara-county,https://clean-coalition.org/news/vallecito-energy-storage-resilience-vesr-project-online-december/,,
Wallgrove Grid Battery,Wallgrove / Sydney,12,,,new south wales,australia,75,,50,TransGrid,,,tesla,megapack,,,construction,2020-10-27,2021-02-01,,,,,,-33.817659,150.828087,1,,,,https://www.transgrid.com.au/wallgrovebattery,https://www.tesmanian.com/blogs/tesmanian-blog/tesla-and-transgrid-will-build-tesla-megapack-battery-in-western-sydney-australia,,,
eReserve1,,13,,,alberta,canada,,,20,WCSB  Power,,,tesla,megapack,,,planning,2020-10-17,,,,,,,55.740245,-118.700003,1,,,"eReserve is one big project, but at 3 locations, hence 3 different lines here",https://ereserve-project.com/ereserve1,http://td.mediaroom.com/2020-10-14-TD-Greystone-Infrastructure-Fund-Invested-in-Canadas-Largest-Battery-Energy-Storage-System,https://www.teslarati.com/tesla-canada-biggest-battery-energy-storage-system/,,
eReserve2,,14,,,alberta,canada,,,20,WCSB  Power,,,tesla,megapack,,,planning,2020-10-17,,,,,,,53.120643,-111.199825,1,,,,https://ereserve-project.com/ereserve2,,,,
eReserve3,,15,,,alberta,canada,,,20,WCSB  Power,,,tesla,megapack,,,planning,2020-10-17,,,,,,,55.287437,-118.642392,1,,,,https://ereserve-project.com/ereserve3,,,,
WindCharger,,16,,,alberta,canada,20,,10,TransAlta,,,tesla,megapack,,9,operation,,,2020-10-15,,,,,49.582737,-113.794235,1,,wind farm support,,,https://www.transaltarenewables.com/2020/10/15/transalta-renewables-announces-commercial-operation-of-windcharger-albertas-first-utility-scale-battery-storage-project/,https://www.teslarati.com/tesla-megapack-alberta-windcharger-complete/,https://transalta.com/wp-content/uploads/2020/04/WindCharger_Construction_Start_Newsletter_2020.pdf,
Holes Bay,Poole,17,,,dorset,uk,15,,7.5,Harmony Energy Ltd / Fotowatio Renewable Ventures BV ,,,tesla,megapack,,6,operation,,,2020-09-18,,,,,50.726395,-1.9901,1,,,,,https://www.teslarati.com/tesla-megapack-autobidder-uk-energy-grid-debut/,https://www.bloomberg.com/news/articles/2020-09-18/six-giant-tesla-batteries-used-to-keep-lights-on-in-britain,https://www.harmonyenergy.co.uk/general/video-holes-bay-battery-energy-storage-plant/,https://frv.com/en/projects/holes-bay/
switch datacenter,,18,,,nevada,usa,,,,switch,,,tesla,megapack,,,planning,2020-07-24,,,,,,,36.058908,-115.21174,0,,datacenter,,,https://electrek.co/2020/07/24/tesla-megapack-project-switch-datacenter/,,,
Kauai Island,Kauai,19,,,hawaii,usa,52,,,KIUC,,,tesla,powerpack,,272,operation,,,2017-03-08,,,,,21.998353,-159.378905,1,,"island, 13mw solar farm support",20 year contract to buy energy,,https://www.theverge.com/2017/3/8/14854858/tesla-solar-hawaii-kauai-kiuc-powerpack-battery-generator,https://www.youtube.com/watch?v=X45Iv6b5Zs4&t=78s,https://en.wikipedia.org/wiki/Kauai,
Mira Loma Substation,Ontario,20,,,california,usa,80,,20,SCE Southern California Edison,,,tesla,powerpack,,,operation,,,2017-06-02,,,,,34.00548,-117.566749,1,,,,,https://www.theverge.com/2017/2/6/14523196/tesla-battery-powerpack-los-angeles-electricity,,,
