id,name,external_id,state,country,mw,mwh,status,date_first_heard,start_construction,start_operation,start_estimated,owner,is_megapack,is_tesla,lat,long,coords_hint,has_user_data,project_website,link1,link2,link3,link4
1,Kapolei Energy Storage,66067,hawaii,usa,185,565,operation,2023-01,2021-08-25,2023-12,,"Kapolei Energy Storage I, LLC",True,True,21.328169,-158.105085,1,True,https://www.kapoleienergystorage.com/overview,https://www.tesmanian.com/blogs/tesmanian-blog/tesla-565-mwh-megapack-project-in-hawaii-celebrates-groundbreaking-ceremony,https://twitter.com/Tesla_Megapack/status/1745499330612748482,,
2,Victorian Big Battery,,victoria,australia,300,450,operation,2020-11-01,2021-01-01,2021-12-08,,,True,True,-38.037741,144.290949,1,True,https://victorianbigbattery.com.au/,https://www.teslarati.com/telsa-megpack-victorian-big-battery-launched/,https://techau.com.au/victorias-grid-just-got-greener-thanks-to-212-tesla-megapack-batteries-300mw-450mwh/,https://www.bestmag.co.uk/indnews/tesla%E2%80%99s-lithium-ion-megapack-causes-three-day-fire-during-test-australian-300mw-ess,https://www.energy-storage.news/victorian-big-battery-australias-biggest-battery-storage-system-at-450mwh-is-online/
3,Saticoy,63891,california,usa,100,400,operation,2020-09,2020-11,2021-04,,"Ventura Energy Storage, LLC",True,True,34.25773,-119.158534,1,True,,https://electrek.co/2021/06/30/tesla-megapacks-power-on-battery-replacing-gas-peaker-plant-california/,https://www.prnewswire.com/news-releases/arevon-powers-oxnard-forward-with-saticoy-battery-storage-project-301321788.html,https://arevonenergy.com/location/saticoy/,
4,California Flats,,california,usa,130,240,operation,2021-03-21,,2023-04-06,,,True,True,35.87009,-120.326403,1,True,,https://www.teslarati.com/tesla-megapack-apple-solar-farm-california/,https://www.apple.com/newsroom/2021/03/apple-powers-ahead-in-new-renewable-energy-solutions-with-over-110-suppliers/,https://www.firstsolar.com/en/Resources/Projects/California-Flats,https://www.youtube.com/watch?v=SA3SdlKBtyc
5,Nofar Israel,,,israel,100,0,planning,2021-03-16,,,,,True,True,31.961747,34.835081,0,True,,https://www.tesmanian.com/blogs/tesmanian-blog/tsla-receives-30-million-order-for-energy-storage-system-from-nofar-energy,,,
6,Gambit Energy Storage - Angleton Storage,64528,texas,usa,100,175,operation,2021-04,2021-06,2021-06,,Tesla Inc.,True,True,29.168189,-95.445369,1,True,https://www.gambit-energystorage.com/,https://www.teslarati.com/tesla-texas-big-battery-report/,https://twitter.com/Tesla_Megapack/status/1770174273719513120,https://www.youtube.com/watch?v=OottNRdebs8,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/tsla-ex211_15.htm
7,Elkhorn Battery Energy Storage System,62564,california,usa,182,730,operation,2020-09,2020-12,2022-04,,Pacific Gas & Electric Co.,True,True,36.807971,-121.781701,1,True,,https://www.teslarati.com/tesla-megapack-battery-moss-landing-completion-video/,https://en.wikipedia.org/wiki/Tesla_Megapack,,
8,Hornsdale Power Reserve,,south australia,australia,150,194,operation,2017-03-10,2017-08-01,2017-12-01,,,False,True,-33.085797,138.518339,1,True,https://hornsdalepowerreserve.com.au/,https://en.wikipedia.org/wiki/Hornsdale_Power_Reserve,,,
9,Osaka Trains,,,japan,0,12,operation,,,2019-03-27,,,False,True,34.701231,135.494584,0,True,,https://www.teslarati.com/telsa-powerpack-osaka-japan/,,,
10,Hokkaido,,,japan,0,6,planning,2021-08-19,,,,,True,True,43.325369,142.589328,0,True,,https://www.bloomberg.com/news/articles/2021-08-19/tesla-plotting-battery-storage-entry-into-japan-s-power-market,,,
