name,customer,city,state,country,type,status,date first heard,start construction,start operation,no of megapacks,no of powerpacks,capacity mwh,power mw,use case,link,link2,notes
Kapolei Energy Storage,hawaiian electric,,hawaii,usa,megapack,construction,,25.8.2021,2022,158,,565,185,"island, black start",https://www.tesmanian.com/blogs/tesmanian-blog/tesla-565-mwh-megapack-project-in-hawaii-celebrates-groundbreaking-ceremony,,
Victorian Big Battery,Neoen Australia,geelong,victoria,australia,megapack,operation,1.11.2020,1.1.2021,28.7.2021,212,,450,300,,https://www.teslarati.com/telsa-megpack-victorian-big-battery-launched/,https://twitter.com/NEOEN_AU/status/1420268370264432642,https://techau.com.au/victorias-grid-just-got-greener-thanks-to-212-tesla-megapack-batteries-300mw-450mwh/  https://victorianbigbattery.com.au/
Saticoy,Arevon,oxnard / los angeles,califorinia,usa,megapack,operation,,1.10.2020,29.6.2021,142,,400,100,peaker plant replacement,https://electrek.co/2021/06/30/tesla-megapacks-power-on-battery-replacing-gas-peaker-plant-california/,https://www.prnewswire.com/news-releases/arevon-powers-oxnard-forward-with-saticoy-battery-storage-project-301321788.html,
California Flats,Apple,monterey county,califorinia,usa,megapack,planning,21.3.2021,,,85,,240,130,130MW solar farm support,https://www.teslarati.com/tesla-megapack-apple-solar-farm-california/,https://www.apple.com/newsroom/2021/03/apple-powers-ahead-in-new-renewable-energy-solutions-with-over-110-suppliers/,
"""30 million USD battery""",Nofar Energy,,,israel,megapack,planning,16.3.2021,,,,,,100,150mw solar farm support,https://www.tesmanian.com/blogs/tesmanian-blog/tsla-receives-30-million-order-for-energy-storage-system-from-nofar-energy,,
Gambit,Tesla Subsidary,angleton / houston,texas,usa,megapack,construction,8.3.2021,8.3.2021,,,,,100,tesla as energy providor,https://www.teslarati.com/tesla-texas-big-battery-report/,,
Moss landing ,PG&E,close to santa cruz,califorinia,usa,megapack,operation,,1.7.2021,,256,,730,182,,https://www.teslarati.com/tesla-megapack-battery-moss-landing-completion-video/,,"drone video only show ca 130 white boxes and each is 2 megapacks, there is a vistra battery close by that is even bigger"
Hornsdale Power Reserve,Neoen Australia,hornsdale,south australia,australia,powerpack,operation,10.3.2017,1.8.2017,1.12.2017,,,194,150,,https://en.wikipedia.org/wiki/Hornsdale_Power_Reserve,,"in 2020, 64mwh were added"
Osaka Trains,,Osaka,,japan,powerpack,operation,,,27.3.2019,,42,12,,train station backup,https://www.teslarati.com/telsa-powerpack-osaka-japan/,,42 power packs
Hokkaido,,,,japan,megapack,planning,,,2022,,,6,,,https://www.bloomberg.com/news/articles/2021-08-19/tesla-plotting-battery-storage-entry-into-japan-s-power-market,,
Vallecito Energy Storage Resilience (VESR),Clean Coalition,carpinteria / santa barbara county,califorinia,usa,megapack,operation,,5.11.2020,,15,,40,,,https://www.tesmanian.com/blogs/tesmanian-blog/tesla-begins-installation-of-15-megapacks-at-carpinteria-santa-barbara-county,,
Wallgrove Grid Battery,TransGrid,Wallgrove / Sydney,new south wales,australia,megapack,construction,27.10.2020,1.2.2021,2021,,,75,50,,https://www.transgrid.com.au/wallgrovebattery,https://www.transgrid.com.au/wallgrovebattery,
WCSB Power,WCSB  Power,,alberta,canada,megapack,planning,17.10.2020,,,,,,60,,https://www.teslarati.com/tesla-canada-biggest-battery-energy-storage-system/,http://td.mediaroom.com/2020-10-14-TD-Greystone-Infrastructure-Fund-Invested-in-Canadas-Largest-Battery-Energy-Storage-System,
WindCharger,TransAlta,,alberta,canada,megapack,operation,,,15.10.2020,9,,20,10,wind farm support,https://www.transaltarenewables.com/2020/10/15/transalta-renewables-announces-commercial-operation-of-windcharger-albertas-first-utility-scale-battery-storage-project/,https://www.teslarati.com/tesla-megapack-alberta-windcharger-complete/,https://www.tesmanian.com/blogs/tesmanian-blog/tesla-megapack-utility-scale-battery-storage-ready-for-operation-in-canada
Holes Bay,Harmony Energy Ltd,Holes Bay / Southampton,,uk,megapack,operation,,,18.9.2020,6,,,7.5,,https://www.teslarati.com/tesla-megapack-autobidder-uk-energy-grid-debut/,https://www.bloomberg.com/news/articles/2020-09-18/six-giant-tesla-batteries-used-to-keep-lights-on-in-britain,
