year,month,entity id,entity name,plant producer type,plant name,plant state,plant id,generator id,net summer capacity (mw),technology,energy source code,prime mover code,status,status_simple,date
2021,1,62160,"AES ES Alamitos, LLC",IPP,"AES ES ALAMITOS, LLC",CA,61204,ALMTS,100,Batteries,MWH,BA,operation,operation,2021-01
2021,1,63731,Desert Harvest II LLC,IPP,Desert Harvest II LLC,CA,64103,DH003,35,Batteries,MWH,BA,operation,operation,2021-01
2021,2,61522,"Viridity Energy Solutions, Inc.",IPP,Vallecito,CA,62801,ORN34,10,Batteries,MWH,BA,operation,operation,2021-02
2021,3,59843,"Blythe Solar II, LLC",IPP,"Blythe Solar II, LLC",CA,60092,BLST2,115,Batteries,MWH,BA,operation,operation,2021-03
2021,4,61012,AES Distributed Energy,IPP,"AES Kekaha Solar, LLC Hybrid",HI,63280,BESS,14,Batteries,MWH,BA,operation,operation,2021-04
2021,4,63424,"Silverstrand Grid, LLC",IPP,Silverstrand Grid Energy Storage System,CA,63735,SLV01,11,Batteries,MWH,BA,operation,operation,2021-04
2021,4,63550,"Ventura Energy Storage, LLC",IPP,Saticoy,CA,63891,SATCY,100,Batteries,MWH,BA,operation,operation,2021-04
2021,4,64002,Wilmot Energy Center LLC,IPP,Wilmot Energy Center LLC,AZ,64426,WILBA,30,Batteries,MWH,BA,operation,operation,2021-04
2021,5,63012,"2W Permian Solar, LLC",IPP,2W Permian Solar Project Hybrid,TX,63255,2WPBA,40,Batteries,MWH,BA,"(U) Under construction, less than or equal to 50 percent complete",construction,2021-05
2021,5,59844,"Blythe Solar III, LLC",IPP,"Blythe Solar III, LLC Hybrid",CA,60094,BLST3,115,Batteries,MWH,BA,"(V) Under construction, more than 50 percent complete",construction,2021-05
2021,5,64118,"Grissom Solar, LLC",IPP,"Grissom Solar, LLC",NC,64450,GSF02,10,Batteries,MWH,BA,"(V) Under construction, more than 50 percent complete",construction,2021-05
2021,5,16609,San Diego Gas & Electric Co,Electric Utility,Top Gun Energy Storage,CA,61366,TGES,30,Batteries,MWH,BA,"(V) Under construction, more than 50 percent complete",construction,2021-05
2021,5,63522,Santa Ana Storage 1,IPP,"Johanna Energy Center, LLC",CA,63843,SASP1,20,Batteries,MWH,BA,"(V) Under construction, more than 50 percent complete",construction,2021-05
2021,6,59842,"Blythe Solar 110, LLC",IPP,"Blythe Solar 110, LLC",CA,60093,BES1,63,Batteries,MWH,BA,"(V) Under construction, more than 50 percent complete",construction,2021-06
2021,6,63883,Broad Reach Power,IPP,Bat Cave,TX,64312,BC,100,Batteries,MWH,BA,"(U) Under construction, less than or equal to 50 percent complete",construction,2021-06
2021,6,63883,Broad Reach Power,IPP,North Fork TX,TX,64317,NF,100,Batteries,MWH,BA,"(U) Under construction, less than or equal to 50 percent complete",construction,2021-06
2021,6,61978,Convergent Energy and Power LP,IPP,Henrietta D Energy Storage LLC,CA,60641,HDES1,10,Batteries,MWH,BA,"(V) Under construction, more than 50 percent complete",construction,2021-06
2021,6,6455,"Duke Energy Florida, LLC",Electric Utility,Trenton,FL,63995,ES1,11,Batteries,MWH,BA,"(V) Under construction, more than 50 percent complete",construction,2021-06
2021,6,54802,Dynegy -Moss Landing LLC,IPP,Dynegy Moss Landing Power Plant Hybrid,CA,260,BAT1,300,Batteries,MWH,BA,"(TS) Construction complete, but not yet in commercial operation",construction,2021-06
2021,6,62763,"Hecate Grid, LLC",IPP,Hecate Energy Johanna Facility,CA,62889,HEGJF,20,Batteries,MWH,BA,"(U) Under construction, less than or equal to 50 percent complete",construction,2021-06
2021,6,62763,"Hecate Grid, LLC",IPP,Hecate Energy Johanna Facility,CA,62889,HJFII,10,Batteries,MWH,BA,"(U) Under construction, less than or equal to 50 percent complete",construction,2021-06
2021,6,63549,"Lily Solar, LLC",IPP,Lily Solar Hybrid,TX,63892,LILYB,50,Batteries,MWH,BA,"(U) Under construction, less than or equal to 50 percent complete",construction,2021-06
2021,6,16609,San Diego Gas & Electric Co,Electric Utility,Kearny North Energy Storage,CA,64612,KNES,10,Batteries,MWH,BA,(T) Regulatory approvals received. Not under construction,planning,2021-06
