Old Ref ID,Ref,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,status,mw
,6845,12/12/2018,AES Kilroot Power (AES KPL),AES Kilroot Station Battery Storage Array,Battery,Co-located with fossil fuel plant,,10.00,,,,,,,,,Operational,Operational,Carrickfergus,Co. Antrim,Northern Ireland,Northern Ireland,BT38 7LX,157517,543117,Northern Ireland Planning Service,,,,,,,,,,,,,,,,,,,18/11/2015,18/01/2016,,operation,10
,6898,03/01/2019,Statera Energy/ InfraRed Capital,Pelham,Battery,Stand-alone Storage,,49.00,,,,,,,,,Operational,Operational,"LAND NORTH OF PELHAM SUBSATION AND SOUTH OF BERDEN ROAD, BERDEN, BISHOP�S STORTFORD, ",Essex,Eastern,England,CM23 1BA,545779,228669,Uttlesford District Council,UTT/16/2316/FUL,,,,,,16/08/2016,,,,,,,18/10/2016,,,,18/10/2019,15/01/2017,15/06/2017,,operation,49
,6906,21/03/2019,E.ON UK,Blackburn Meadows ,Battery,Co-located with RE,166,10.00,,,,,,,,,Operational,Operational,"Blackburn Meadows in Sheffield, South Yorkshire",South Yorkshire,Yorkshire and Humber,England,S9 1HF,440075,391650,Sheffield City Council,,,,,,,,,,,,,,,,,,,07/04/2017,09/10/2017,,operation,10
,6910,18/04/2019,Renewable Energy Systems (RES),Broxburn ,Battery,Stand-alone Storage,,20.00,,,,,,,,,Operational,Operational,"Land at Lookabootye, by Broxburn, adjacent to the Lookabootye substation.
",West Lothian,Scotland,Scotland,,309143,670530,West Lothian Council,LIVE/0502/FUL/16,PPA-400-2073,,,,,03/08/2016,,25/11/2016,15/12/2016,,,06/03/2017,06/03/2017,,,,,15/08/2017,15/09/2018,,operation,20
,6911,20/01/2020,Anesco (formerly owned by Energy Reservoirs),Land to the west of Clay Hill Pit / Larport Farm,Battery,Stand-alone Storage,,20.00,,,,,,,,,Operational,Operational,Land West of Clay Hill Pit Larport Farm Larport Lane Dormington Herefordshire ,Hereford and Worcester,West Midlands,England,HR1 4EP,357450,239700,Herefordshire Council,P162400/F,,,,,,23/08/2016,,,,,,,18/11/2016,,,,,01/01/2019,01/01/2020,,operation,20
,6912,30/11/2018,Centrica,Roosecote,Battery,Stand-alone Storage,,49.00,,,,,,,,,Operational,Operational,"Roosecote coal and gas-fired power station, Barrow-in-Furness, Cumbria, UK, ",Cumbria,North West,England,LA13 0PQ,322288,468359,Barrow in Furness Borough Council,,,,,,,,,,,,,,,,,,,01/03/2017,30/11/2018,,operation,49
,6915,15/03/2019,Anesco/ Green Hedge Energy UK,Hill Farm - Energy Barn,Battery,Stand-alone Storage,,10.00,,,,,,,,,Operational,Operational,"Hill Farm, Spring Lane, Packington, Ashby de la Zouch, Leicestershire
",Leicestershire,East Midlands,England,LE65 1WU,436639,314607,North West Leicestershire District Council,16/00735/FUL,,,,,,22/06/2016,,,,,,,17/08/2016,,,,,15/12/2016,31/03/2017,,operation,10
,6916,15/03/2019,Anesco/ Green Hedge Energy UK,Kings Barn Farm - Energy Barn,Battery,Stand-alone Storage,,10.00,,,,,,,,,Operational,Operational,"Kings Barn Farm, Steyning, West Sussex",West Sussex,South East,England,BN44 3YR,518460,111380,Horsham District Council,DC/16/1648,,,,,,22/07/2016,,,,,,,04/10/2016,,,,,15/12/2016,31/03/2017,,operation,10
,6917,11/12/2018,Eelpower,Leverton Farm - Energy Barn,Battery,Stand-alone Storage,,10.00,,,,,,,,,Operational,Operational,"Leverton Farm, Birch Holt Farm, Burton Lincoln, Lincoln
",Lincolnshire,East Midlands,England,LN1 2RD,495886,374623,Lincolnshire County Council,,,,,,,,,,,,,,,,,,,01/11/2017,01/01/2018,,operation,10
,6918,09/05/2019,Hazel Capital/ Noriker Power,Noriker Power Staunch,Battery,Co-located with fossil fuel plant,,20.00,,,,,,,,,Operational,Operational,"Holditch House, Holditch Road, Chesterton",Staffordshire,West Midlands,England,ST5 9JQ,383781,348429,Newcastle Under Lyme Borough Council,16/00242/FUL,,,,,,24/03/2016,,,,,,,19/05/2016,,,,,15/12/2016,15/03/2017,,operation,20
,6920,27/11/2018,EDF Energy Renewables,West Burton,Battery,Co-located with fossil fuel plant,,49.00,,,,,,,,,Operational,Operational,West Burton Power Station North Road West Burton Retford Nottinghamshire ,Nottinghamshire,East Midlands,England,DN22 9BL,480060,385968,Bassetlaw District Council,16/00954/FUL,,,,,,11/07/2016,,,,,,,30/09/2016,,,,,25/01/2018,25/06/2018,,operation,49
,6925,03/08/2018,Enel (formerly Element Power),Tynemouth Energy Storage System (TESS),Battery,Stand-alone Storage,,25.00,,,,,,,,,Operational,Operational,Newcastle,Tyne and Wear,North East,England,NE27 0NB,431864,570273,North Tyneside Council,16/01451/FUL,,,,,,08/09/2016,,,,,,,12/10/2016,,,,12/10/2019,20/12/2018,25/05/2018,,operation,25
,6926,28/03/2017,Belectric UK / Foresight,Nevendon,Battery,Stand-alone Storage,,10.00,,,,,,,,,Operational,Operational,"Nevendon, Essex",Essex,Eastern,England,SS14 3JH,572912,191225,Essex County Council,,,,,,,,,,,,,,,,,,,15/10/2018,15/03/2018,,operation,10
,6927,03/01/2019,Vattenfall,Pen y Cymoedd Energy Storage,Battery,Co-located with RE,4595,22.00,,,,,,,,,Operational,Operational,"Pen y Cymoedd, Neath Port Talbot ",Neath Port Talbot,Wales,Wales,SA13 3HF,282793,196557,Neath Port Talbot County Borough Council,,,,,,,,,,,,,,,,,,,01/11/2017,01/05/2018,,operation,22
,6941,27/05/2020,Federal Estates,Chelveston Renewable Energy Park,Battery,Stand-alone Storage,,20.00,,,,,,,,,Under Construction,Under Construction,"Chelveston Renewable Energy Pa, The Airfield, Chelveston, Wellingborough,�Northamptonshire",Northamptonshire,East Midlands,England,NN9 6AR,500254,269084,East Northamptonshire Council,17/00784/FUL,,,,,,20/04/2017,,,,,,,15/06/2017,,,,,01/07/2019,,,construction,20
,6945,26/11/2019,Zenobe (formerly Energy Reservoir 15),Claredown Farm,Battery,Stand-alone Storage,,20.00,,,,,,,,,Operational,Operational,"Land at Claredown Farm, Hickford Hill, Belchamp St Paul
",Essex,Eastern,England,CO10 7DW,578833,244577,Braintree District Council,17/00583/FUL,,,,,,04/04/2017,,,,,,,05/06/2017,,,,,01/09/2017,27/02/2018,,operation,20
,6914,25/08/2020,Anesco/ Green Hedge Energy UK,Breach Farm - Energy Barn,Battery,Stand-alone Storage,,40.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Breach Farm, Caldwell, Swadlincote, Derbyshire",Derbyshire,East Midlands,England,DE12 6RJ,426427,318855,South Derbyshire District Council,9/2017/0541,,,,,,18/05/2017,,,,,,,15/08/2017,,,,,,,,planning,40
102,6923,21/08/2020,Statera Energy/ InfraRed Capital,Norton,Battery,Stand-alone Storage,,49.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land just north of the railway line, High Middlefield Farm, Durham Road, Thorpe Thewles,",County Durham,North East,England,TS21 3LS,441440,522394,Stockton on Tees Borough Council,16/1978/FUL,,,,,,28/07/2016,,,,,,,03/11/2016,,,,,,,,planning,49
,6929,28/04/2020,UK Power Reserve,Traston Road,Battery,Co-located with fossil fuel plant,,20.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land East Of Clarke Energy Production, Traston Road, Newport",Gwent,Wales,Wales,NP19 4PW,333094,185913,Newport City Council,16/0855,,,,,,19/08/2016,,,,,,,03/11/2016,,,,03/11/2021,,,,planning,20
,6930,28/04/2020,UK Power Reserve,Bristol Road,Battery,Co-located with fossil fuel plant,,20.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,NGPlot 6 Bristol Road Gloucester ,Gloucestershire,South West,England,GL2 5YA,381828,215977,Gloucester City Council,16/01044/FUL,,,,,,30/08/2016,,,,,,,26/10/2016,,,,,,,,planning,20
,6932,28/04/2020,UK Power Reserve,Asfordby Business Park (1),Battery,Co-located with fossil fuel plant,,23.40,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Zone P, Asfordby Business Park, Welby Road, Melton Mowbray, Leicestershire, ",Leicestershire,East Midlands,England,LE14 3JL,472654,320733,Melton Borough Council,16/00522/FUL,,,,,,01/08/2016,,,,,,,30/09/2016,,,,30/09/2019,,,,planning,23
,6961,31/01/2019,Aura Power,Lockleaze Energy Storage,Battery,Stand-alone Storage,,15.00,,,,,,,,,Operational,Operational,"Land at the SWEB Estate, Romney Avenue, Lockleaze, Bristol",Avon,South West,England,BS7 9ST,360403,176373,Bristol City Council,17/01147/F,,,,,,10/03/2017,,,,,,,05/05/2017,,,,,01/06/2017,01/12/2017,,operation,15
,6942,27/05/2020,Enstor Power UK,Tofts Lane,Battery,Stand-alone Storage,,40.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Tofts Lane, Snowden Hill, Barnsley",South Yorkshire,Yorkshire and Humber,England,S36 8YR,425805,400394,Barnsley Metropolitan Borough Council,2017/0624,,,,,,03/05/2017,,,,,,,07/09/2017,,,,,,,,planning,40
,6976,09/05/2019,Foresight,Port of Tyne,Battery,Stand-alone Storage,,35.00,,,,,,,,,Operational,Operational,"Port of Tyne, Tyne Dock, South Shields, Tyne & Wear",Tyne and Wear,North East,England,NE34 9PT,434923,564875,South Tyneside Metropolitan Borough Council,ST/0867/16/FUL�,,,,,,07/09/2016,,,,,,,21/10/2016,,,,,01/04/2018,01/07/2018,,operation,35
,6943,21/09/2020,Vattenfall Wind Power,Ray Battery Storage Facility,Battery,Co-located with RE,4026,20.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Ray Wind Farm, Kirkwhelpington, Newcastle Upon Tyne, Northumberland",Northumberland,North East,England,NE19 2RG,395129,585703,Northumberland County Council,17/01923/RENE,,,,,,30/05/2017,,,,,,,25/07/2017,,,,25/07/2022,,,,planning,20
,6944,25/08/2020,Green Hedge Energy UK,Pikelaw Place,Battery,Stand-alone Storage,,10.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land at Pikelaw Place, Skelmersdale, Lancashire",Lancashire,North West,England,WN8 9PP,349208,404425,West Lancashire Borough Council,2017/0563/FUL�,,,,,,24/05/2017,,,,,,,21/07/2017,,,,,,,,planning,10
,6946,26/02/2020,Spencer Farm Produce,The Hollies,Battery,Co-located with RE,1622,24.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"The Hollies, High Lane, Croft",Lincolnshire,East Midlands,England,PE24 4SH,549998,363104,East Lindsey District Council,S/039/00841/17,,,,,,12/05/2017,,,,,,,17/07/2017,,,,,,,,planning,24
132,6952,21/08/2020,Statera Energy / Minety North Storage,Minety North,Battery,Stand-alone Storage,,50.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,Land North of Minety Substation Minety,Wiltshire,South West,England,SN16 9RP�,400916,189181,Wiltshire Council,17/03936/FUL,,,,,,09/05/2017,,,,,,,20/07/2017,,,,,,,,planning,50
,6953,21/08/2020,Statera Energy / Melksham East Storage,Melksham Substation East Storage,Battery,Stand-alone Storage,,50.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,Land to the south of Melksham Substation Westlands Farm Westlands Lane Whitley Melksham,Wiltshire,South West,England,SN12 7QG,389389,166695,Wiltshire Council,17/04110/FUL,,,,,,10/05/2017,,,,,,,28/09/2017,,,,,,,,planning,50
,7000,20/01/2020,Gridserve Energy Storage,Slamseys Energy Storage,Battery,Stand-alone Storage,,10.00,,,,,,,,,Under Construction,Under Construction,"Land North Of Slamseys Farm, Blackley Lane, Great Notley, Essex",Essex,Eastern,England,CM77 7QW,573901,219919,Braintree District Council,17/01235/FUL,,,,,,06/07/2017,,,,,,,26/10/2017,,,,,13/01/2020,,,construction,10
,6955,21/08/2020,Statera Energy / Melksham West Storage,Melksham Substation West Storage,Battery,Stand-alone Storage,,50.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land to the south west of Melksham Substation, Westlands Farm, Westlands Lane, Whitley",Wiltshire,South West,England,SN12 7QG,389389,166695,Wiltshire Council,17/04116/FUL,,,,,,10/05/2017,,,,,,,28/09/2017,,,,,,,,planning,50
,6958,07/04/2021,RNA Energy,Norwich Road Industrial Estate,Battery,Stand-alone Storage,,40.00,No,,,,,,,,Planning Permission Granted,Awaiting Construction,Land Within Norwich Road Industrial Estate West Of Sub Station And North Of Halesworth Business Park Norwich Road Halesworth Suffolk,Suffolk,Eastern,England,IP19 8QJ,639014,278928,Suffolk Coastal District Council,DC/17/0161/FUL,,,,,,16/01/2017,,,,,,,28/02/2017,,,,28/02/2020,,,,planning,40
,7003,12/01/2021,UK Power Reserve,Land off Queenborough Road,Battery,Stand-alone Storage,,40.00,No,,,,,,,,Under Construction,Under Construction,"Land Adjacent To 9 Neatscourt Cottages, Queenborough Road, Halfway, Kent",Kent,South East,England,ME12 3RJ,592600,171381,Swale Borough Council,17/503032/FULL,,,,,,08/06/2017,,,,,,,30/10/2018,,,,30/10/2021,01/12/2019,,,construction,40
,6977,21/08/2020,Statera Energy,Wolverhampton West Sub Station,Battery,Stand-alone Storage,,50.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land East of West Wolverhampton West Sub Station, Langley Road, Wolverhampton",Staffordshire,West Midlands,England,WV3 8EA,387595,297280,South Staffordshire Council,16/00747/FUL,,,,,,22/08/2016,,,,,,,21/10/2016,,,,,,,,planning,50
,6981,15/08/2019,ENGIE Renewables,Former Rugeley Power Station,Battery,Stand-alone Storage,,49.90,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land at Rugeley Power Station, Armitage Road, Rugeley, Staffordshire",Staffordshire,West Midlands,England,WS15 1PR,405398,317702,Cannock Chase Council,CH/17/214,,,,,,25/05/2017,,,,,,,31/08/2017,,,,,,,,planning,49
,7015,21/08/2020,Community Wind Power,Aikengall II Community Wind Farm Battery,Battery,Co-located with RE,4332,80.00,,,,,4.20,19,145.00,,Planning Permission Granted,Awaiting Construction,"Aikengall II Community Wind Fa, Innerwick, Dunbar, Lothian",East Lothian,Scotland,Scotland,EH42 1,367967,668389,East Lothian Council,18/00865/P,,,,,,10/01/2018,,,,,,,04/07/2019,,,,04/07/2022,,,,planning,80
,6984,23/03/2020,Aura Power / South East Grid Storage Two,Rayleigh Transforming Station,Battery,Stand-alone Storage,,10.80,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Rayleigh Transforming Station, High Mead, Rayleigh, Essex",Essex,Eastern,England,SS6 7AW,579617,190593,Rochford District Council,17/00437/FUL,,,,,,02/05/2017,,,,,,,08/11/2017,,,,08/11/2020,,,,planning,10
,7020,30/07/2020,Green Energy International,Bilbo Solar Farm Energy Storage ,Battery,Co-located with RE,6736,40.00,,,,,,,,,Under Construction,Under Construction,"Land At Bilbo Solar Farm, Moss-side, Crimond, Fraserburgh, Grampian",Aberdeen,Scotland,Scotland,AB43 8QJ,405327,855492,Aberdeenshire Council,APP/2019/0296,,,,,,26/06/2019,,,,,,,20/09/2019,,,,,01/12/2020,,,construction,40
