Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,,lat,long,status,mw
,10039,04/03/2022,Intelligent Land Investments Group plc,"Electricity Sub Station, Strichen - Battery Storage Facility",Battery,Stand-alone Storage,,50.00,No,,,,,,,,Planning Permission Granted,Awaiting Construction,Adj Electricity Sub Station Strichen ,Aberdeenshire ,Scotland,Scotland,AB43 6RH ,396216,855450,Aberdeenshire Council,APP/2021/2556 ,,,,,,19/11/2021,,,,,,,01/03/2022,,,,,,,,,57.58907,-2.06495,planning,50
,10222,28/02/2022,Fraserburgh Energy Limited,A981 Fraserburgh - Battery Energy Storage,Battery,Stand-alone Storage,,25.00,No,,,,,,,,Planning Permission Granted,Awaiting Construction,E/O A981 Fraserburgh,Aberdeenshire,Scotland,Scotland,AB43 8TT,398529,864614,Aberdeenshire Council,APP/2021/2855,,,,,,23/12/2021,,,,,,,21/02/2022,,,,,,,,,57.671398,-2.026323,planning,25
,10701,01/03/2022,Gigabox Energy Storage Limited,"Midmill, Kintore - Battery Energy Storage",Battery,Stand-alone Storage,,49.00,No,,,,,,,,Planning Application Submitted,Application Submitted,Midmill Kintore Aberdeenshire ,Grampian,Scotland,Scotland,AB51 0XB,379477,813922,Aberdeenshire Council,APP/2022/0249,,,,,,17/02/2022,,,,,,,,,,,,,,,,57.215591,-2.341436,planning,49
,8916,11/03/2022,Gigabox Developments Limited,Whitehills Energy Storage Facility,Battery,Stand-alone Storage,,49.90,No,,,,,,,,Planning Permission Granted,Awaiting Construction,Energy Storage Unit 1 Old Brechin Road Forfar,Angus,Scotland,Scotland,DD8 3HH,346735,751635,Angus Council,21/00534/FULM,,,,,,07/07/2021,,,,,,,15/12/2021,,,,,,,,,56.653468,-2.87036,planning,49
,7001,18/03/2022,Gore Street Energy Storage Fund,Stony Energy Storage Facility,Battery,Stand-alone Storage,,79.90,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land to the south west of Stony Stratford Substation, south of Stratford Road, Milton Keynes",Buckinghamshire,South East,England,MK19 6DZ,477740,236134,Aylesbury Vale District Council,17/02259/APP,,,,,,14/07/2017,,,,,,,12/10/2017,,,,,,,,,52.018193,-0.868566,planning,79
,6845,12/12/2018,AES Kilroot Power (AES KPL),AES Kilroot Station Battery Storage Array,Battery,Co-located with fossil fuel plant,,10.00,,,,,,,,,Operational,Operational,Carrickfergus,Co. Antrim,Northern Ireland,Northern Ireland,BT38 7LX,157517,543117,Northern Ireland Planning Service,,,,,,,,,,,,,,,,,,,18/11/2015,18/01/2016,,,54.724406,-5.767212,operation,10
,9668,05/01/2022,FPC Industry & Enterprise 2 Limited,The Brickmakers Arms Battery,Battery,Stand-alone Storage,,20.00,No,,,,,,,,Planning Permission Granted,Awaiting Construction,"The Brickmakers Arms Ph Woburn Road, Kempston Hardwick Bedford",Bedfordshire,Eastern,England,MK43 9AH,502115,245302,Bedford Borough Council,21/00300/FUL,,,,,,02/02/2021,,,,,,,22/12/2021,,,,,,,,,52.096646,-0.510744,planning,20
,6898,03/01/2019,Statera Energy/ InfraRed Capital,Pelham,Battery,Stand-alone Storage,,49.00,,,,,,,,,Operational,Operational,"LAND NORTH OF PELHAM SUBSATION AND SOUTH OF BERDEN ROAD, BERDEN, BISHOP�S STORTFORD, ",Essex,Eastern,England,CM23 1BA,545779,228669,Uttlesford District Council,UTT/16/2316/FUL,,,,,,16/08/2016,,,,,,,18/10/2016,,,,18/10/2019,15/01/2017,15/06/2017,,,51.937437,0.119184,operation,49
,6906,21/03/2019,E.ON UK,Blackburn Meadows ,Battery,Co-located with RE,166,10.00,,,,,,,,,Operational,Operational,"Blackburn Meadows in Sheffield, South Yorkshire",South Yorkshire,Yorkshire and Humber,England,S9 1HF,440075,391650,Sheffield City Council,,,,,,,,,,,,,,,,,,,07/04/2017,09/10/2017,,,53.420135,-1.39846,operation,10
,6910,18/04/2019,Renewable Energy Systems (RES),Broxburn ,Battery,Stand-alone Storage,,20.00,,,,,,,,,Operational,Operational,"Land at Lookabootye, by Broxburn, adjacent to the Lookabootye substation.
",West Lothian,Scotland,Scotland,,309143,670530,West Lothian Council,LIVE/0502/FUL/16,PPA-400-2073,,,,,03/08/2016,,25/11/2016,15/12/2016,,,06/03/2017,06/03/2017,,,,,15/08/2017,15/09/2018,,,55.919243,-3.455353,operation,20
