Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),CfD Allocation Round,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,lat,long,status,mw
,6845,12/12/2018,AES Kilroot Power (AES KPL),AES Kilroot Station Battery Storage Array,Battery,Co-located with fossil fuel plant,,10,,,,,,,,,,Operational,Operational,,,Carrickfergus,Co. Antrim,Northern Ireland,Northern Ireland,BT38 7LX,157517,543117,Northern Ireland Planning Service,,,,,,,,,,,,,,,,,,,18/11/2015,18/01/2016,,54.724406,-5.767212,operation,10
,6898,03/01/2019,Statera Energy/ InfraRed Capital,Pelham,Battery,Stand-alone Storage,,49,,,,,,,,,,Operational,Operational,,,"LAND NORTH OF PELHAM SUBSATION AND SOUTH OF BERDEN ROAD, BERDEN, BISHOP�S STORTFORD, ",Essex,Eastern,England,CM23 1BA,545779,228669,Uttlesford District Council,UTT/16/2316/FUL,,,,,,16/08/2016,,,,,,,18/10/2016,,,,18/10/2019,15/01/2017,15/06/2017,,51.937437,0.119184,operation,49
,6906,21/03/2019,E.ON UK,Blackburn Meadows ,Battery,Co-located with RE,166,10,,,,,,,,,,Operational,Operational,,,"Blackburn Meadows in Sheffield, South Yorkshire",South Yorkshire,Yorkshire and Humber,England,S9 1HF,440075,391650,Sheffield City Council,,,,,,,,,,,,,,,,,,,07/04/2017,09/10/2017,,53.420135,-1.39846,operation,10
,6910,18/04/2019,Renewable Energy Systems (RES),Broxburn ,Battery,Stand-alone Storage,,20,,,,,,,,,,Operational,Operational,,,"Land at Lookabootye, by Broxburn, adjacent to the Lookabootye substation.
",West Lothian,Scotland,Scotland,,309143,670530,West Lothian Council,LIVE/0502/FUL/16,PPA-400-2073,,,,,03/08/2016,,25/11/2016,15/12/2016,,,06/03/2017,06/03/2017,,,,,15/08/2017,15/09/2018,,55.919243,-3.455353,operation,20
,6911,20/01/2020,Anesco (formerly owned by Energy Reservoirs),Land to the west of Clay Hill Pit / Larport Farm,Battery,Stand-alone Storage,,20,,,,,,,,,,Operational,Operational,,,Land West of Clay Hill Pit Larport Farm Larport Lane Dormington ,Hereford and Worcester,West Midlands,England,HR1 4EP,357450,239700,Herefordshire Council,P162400/F,,,,,,23/08/2016,,,,,,,18/11/2016,,,,,01/01/2019,01/01/2020,,52.054041,-2.62195,operation,20
,6912,30/11/2018,Centrica,Roosecote,Battery,Stand-alone Storage,,49,,,,,,,,,,Operational,Operational,,,"Roosecote coal and gas-fired power station, Barrow-in-Furness, Cumbria, UK, ",Cumbria,North West,England,LA13 0PQ,322288,468359,Barrow in Furness Borough Council,,,,,,,,,,,,,,,,,,,01/03/2017,30/11/2018,,54.105223,-3.190031,operation,49
,6913,01/12/2021,Anesco,Bumpers Lane Solar Farm ,Battery,Co-located with RE,6282,13.3,No,,,,,,,,,Operational,Operational,,,"Land North Of Bumpers Farm, Ilmer Lane, Ilmer, Buckinghamshire",Buckinghamshire,South East,England,HP27 9RE,476556,206578,Aylesbury Vale District Council,14/A1926/NON,,,,,,23/11/2016,,,,,,,,,,,,,16/03/2020,,51.752673,-0.892364,operation,13
,6914,27/05/2022,Bluefield Solar Income Fund,Breach Farm - Energy Barn,Battery,Stand-alone Storage,,40,,,,,,,,,,Planning Permission Granted,Awaiting Construction,,6962,"Breach Farm, Caldwell, Swadlincote, ",Derbyshire,East Midlands,England,DE12 6RJ,426427,318855,South Derbyshire District Council,9/2017/0541,,,,,,18/05/2017,,,,,,,15/08/2017,,,,01/05/2021,,,,52.766651,-1.609775,planning,40
,6915,15/03/2019,Anesco/ Green Hedge Energy UK,Hill Farm - Energy Barn,Battery,Stand-alone Storage,,10,,,,,,,,,,Operational,Operational,,,"Hill Farm, Spring Lane, Packington, Ashby de la Zouch, Leicestershire
",Leicestershire,East Midlands,England,LE65 1WU,436639,314607,North West Leicestershire District Council,16/00735/FUL,,,,,,22/06/2016,,,,,,,17/08/2016,,,,,15/12/2016,31/03/2017,,52.727871,-1.458906,operation,10
,6916,15/03/2019,Anesco/ Green Hedge Energy UK,Kings Barn Farm - Energy Barn,Battery,Stand-alone Storage,,10,,,,,,,,,,Operational,Operational,,,"Kings Barn Farm, Steyning, West Sussex",West Sussex,South East,England,BN44 3YR,518460,111380,Horsham District Council,DC/16/1648,,,,,,22/07/2016,,,,,,,04/10/2016,,,,,15/12/2016,31/03/2017,,50.889769,-0.317163,operation,10
,6917,11/12/2018,Eelpower,Leverton Farm - Energy Barn,Battery,Stand-alone Storage,,10,,,,,,,,,,Operational,Operational,,,"Leverton Farm, Birch Holt Farm, Burton Lincoln, Lincoln
",Lincolnshire,East Midlands,England,LN1 2RD,495886,374623,Lincolnshire County Council,,,,,,,,,,,,,,,,,,,01/11/2017,01/01/2018,,53.259954,-0.56403,operation,10
,6918,09/05/2019,Hazel Capital/ Noriker Power,Noriker Power Staunch,Battery,Co-located with fossil fuel plant,,20,,,,,,,,,,Operational,Operational,,,"Holditch House, Holditch Road, Chesterton",Staffordshire,West Midlands,England,ST5 9JQ,383781,348429,Newcastle Under Lyme Borough Council,16/00242/FUL,,,,,,24/03/2016,,,,,,,19/05/2016,,,,,15/12/2016,15/03/2017,,53.032893,-2.243304,operation,20
,6920,27/11/2018,EDF Energy Renewables,West Burton,Battery,Co-located with fossil fuel plant,,49,,,,,,,,,,Operational,Operational,,,West Burton Power Station North Road West Burton Retford Nottinghamshire ,Nottinghamshire,East Midlands,England,DN22 9BL,480060,385968,Bassetlaw District Council,16/00954/FUL,,,,,,11/07/2016,,,,,,,30/09/2016,,,,,25/01/2018,25/06/2018,,53.364529,-0.798356,operation,49
,6925,03/08/2018,Enel (formerly Element Power),Tynemouth Energy Storage System (TESS),Battery,Stand-alone Storage,,25,,,,,,,,,,Operational,Operational,,,Newcastle,Tyne and Wear,North East,England,NE27 0NB,431864,570273,North Tyneside Council,16/01451/FUL,,,,,,08/09/2016,,,,,,,12/10/2016,,,,12/10/2019,20/12/2018,25/05/2018,,55.025976,-1.503105,operation,25
,6926,28/03/2017,Belectric UK / Foresight,Nevendon,Battery,Stand-alone Storage,,10,,,,,,,,,,Operational,Operational,,,"Nevendon,",Essex,Eastern,England,SS14 3JH,572912,191225,Essex County Council,,,,,,,,,,,,,,,,,,,15/10/2018,15/03/2018,,51.593336,0.494883,operation,10
,6927,03/01/2019,Vattenfall,Pen y Cymoedd Energy Storage,Battery,Co-located with RE,4595,22,,,,,,,,,,Operational,Operational,,,"Pen y Cymoedd, Neath Port Talbot ",Neath Port Talbot,Wales,Wales,SA13 3HF,282793,196557,Neath Port Talbot Council,P2009/1053,,,,,,19/11/2009,,,,,,,18/11/2011,,,,,01/11/2017,01/05/2018,,51.655543,-3.69573,operation,22
,6929,28/04/2020,UK Power Reserve,Traston Road,Battery,Co-located with fossil fuel plant,,20,,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Land East Of Clarke Energy Production, Traston Road, Newport",Gwent,Wales,Wales,NP19 4PW,333094,185913,Newport City Council,16/0855,,,,,,19/08/2016,,,,,,,03/11/2016,,,,03/11/2021,,,,51.568102,-2.966702,planning,20
,6932,28/04/2020,UK Power Reserve,Asfordby Business Park (1),Battery,Co-located with fossil fuel plant,,23.4,,,,,,,,,,Operational,Operational,,,"Zone P, Asfordby Business Park, Welby Road, Melton Mowbray, ",Leicestershire,East Midlands,England,LE14 3JL,472654,320733,Melton Borough Council,16/00522/FUL,,,,,,01/08/2016,,,,,,,30/09/2016,,,,30/09/2019,08/06/2018,01/04/2019,,52.779301,-0.924335,operation,23
,6941,27/05/2020,Federal Estates,Chelveston Renewable Energy Park,Battery,Stand-alone Storage,,20,,,,,,,,,,Under Construction,Under Construction,,,"Chelveston Renewable Energy Pa, The Airfield, Chelveston, Wellingborough,�",Northamptonshire,East Midlands,England,NN9 6AR,500254,269084,East Northamptonshire Council,17/00784/FUL,,,,,,20/04/2017,,,,,,,15/06/2017,,,,,01/07/2019,,,52.310725,-0.530869,construction,20
,6943,21/09/2020,Vattenfall Wind Power,Ray Battery Storage Facility,Battery,Co-located with RE,4026,20,,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Ray Wind Farm, Kirkwhelpington, Newcastle Upon Tyne,",Northumberland,North East,England,NE19 2RG,395129,585703,Northumberland County Council,17/01923/RENE,,,,,,30/05/2017,,,,,,,25/07/2017,,,,25/07/2022,,,,55.165618,-2.078,planning,20
,6945,26/11/2019,Zenobe (formerly Energy Reservoir 15),Claredown Farm,Battery,Stand-alone Storage,,20,,,,,,,,,,Operational,Operational,,,"Land at Claredown Farm, Hickford Hill, Belchamp St Paul
",Essex,Eastern,England,CO10 7DW,578833,244577,Braintree District Council,17/00583/FUL,,,,,,04/04/2017,,,,,,,05/06/2017,,,,,01/09/2017,27/02/2018,,52.070683,0.607816,operation,20
,6948,15/12/2022,Innova Renewables Limited,Manor Farm Energy Storage,Battery,Co-located with RE,1694,10,,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Manor Farm, Wainfleet Road, Irby-in-the-Marsh, Skegness",Lincolnshire,East Midlands,England,PE24 5AY,546683,363395,East Lindsey District Council,S/051/00772/17,,,,,,02/05/2017,,,,,,,30/11/2017,,,,,,,,53.147505,0.19181,planning,10
,6949,23/11/2018,RNA Energy,Tollgate Battery Storage Facility,Battery,Stand-alone Storage,,49.5,,,,,,,,,,Revised,Revised,7335,,"Tollgate Farm, Tollgate Road, North Mymms",Hertfordshire,Eastern,England,AL4 0NY,521828,205528,Welwyn Hatfield Borough Council,6/2017/0702/MAJ,,,,,,06/04/2017,,06/07/2017,,,,,,,,,,,,,51.735231,-0.237166,planning,49
,6953,22/11/2022,Statera Energy / Melksham East Storage,Melksham Substation East Storage,Battery,Stand-alone Storage,,50,,,,,,,,,,Operational,Operational,,,Land to the south of Melksham Substation Westlands Farm Westlands Lane Whitley Melksham,Wiltshire,South West,England,SN12 7QG,389389,166695,Wiltshire Council,17/04110/FUL,,,,,,10/05/2017,,,,,,,28/09/2017,,,,28/09/2020,01/01/2022,07/11/2022,,51.399186,-2.153916,operation,50
