name,customer,city,id,state,country,lat,long,coords exact,manufacturer,type,status,date first heard,start construction,start operation,no of megapacks,no of powerpacks,capacity mwh,power mw,use case,project website,link1,link2,link3,notes
Moss Landing,Vistra Corp,Moss Landing,501,california,usa,36.806072,-121.782258,1,LG Energy Solution,,operation,,,2021-02-24,,,1600,400,,https://www.vistracorp.com/vistra-zero/,https://www.energy-storage.news/manufacturer-reveals-involvement-in-worlds-biggest-battery-energy-storage-system-so-far/,https://insideevs.com/news/489894/vistra-moss-landing-energy-storage-world-largest/,,"TR1200 rack design with JH4 cell, 4500+ racks, two stages here"
Docordova,Vistra Corp,Hood County,502,texas,usa,32.430077,-97.695028,0,,,planning,2021-01-09,,,,,260,260,,https://www.vistracorp.com/vistra-zero/,https://urjadaily.com/vistra-brings-worlds-largest-utility-scale-battery-energy-storage-system-online/,,,should go online in 2022
Oakland,Vistra Corp,Oakland,503,california,usa,37.79422,-122.20837,0,,,planning,2021-01-09,,,,,36,145,,https://www.vistracorp.com/vistra-zero/,,,,should go online in 2022
Upton 2,Vistra Corp,Upton County,504,texas,usa,31.255119,-102.246596,0,,,operation,,,2018-12-31,,,10,42,180MW solar farm support,https://www.vistracorp.com/vistra-zero/,https://www.energy-storage.news/us-utility-vistra-plans-texas-solar-storage-facilities-alongside-6-8gw-of-coal-retirement-by-2027/,https://www.luminant.com/upton-2-solar-power-plant-energy-storage-facility/,,
Morro Bay,Vistra Corp,Morro Bay,505,california,usa,35.374224,-120.858684,1,,,planning,2021-02-15,,,,,2400,600,,,https://www.energy-storage.news/vistra-proposes-california-battery-project-twice-the-size-of-worlds-largest-facility-to-date/,http://www.morrobayca.gov/documentcenter/view/15093,,"revitalise existing gas power plant site, start construction in 2022 should take 36-48 month to complete"
Big Star,RWE Renewables,Bastrop County,506,texas,usa,29.913908,-97.289792,0,LG Energy Solution,,planning,2021-09-01,,,,,120,80,200MW solar farm support,,https://www.energy-storage.news/rwe-signs-up-corporate-offtaker-for-big-star-texas-solar-plus-storage-project/,https://www.rwe.com/en/press/rwe-renewables/2021-08-25-rwe-teams-up-with-constellation-to-supply-major-us-commercial-customers-with-solar-energy-from-big-star-facility,,
Hickory Park,RWE Renewables,Mitchell County,507,georgia,usa,31.31621,-84.124752,0,Wärtsilä Energy,GridSolv Quantum,construction,,2020-11-17,,,,80,40,200MW solar farm support,,https://www.energy-storage.news/lg-energy-solution-supplying-800mwh-battery-storage-for-rwes-us-solar-plus-storage-projects/,https://www.rwe.com/en/press/rwe-renewables/2020-11-17-rwes-hickory-park-solar-project-with-co-located-storage-facility-under-construction,,30 year PPA with Georgia Power
Hubei Flow Battery,Hubei Pingfan Ruifeng New Energy Technology,Xiangyang,508,hubei,china,32.075783,112.145275,0,VRB Energy,,construction,,2021-05-21,,,,500,100,500MW rooftop solar support,,https://www.energy-storage.news/vrb-energy-breaks-ground-on-100mw-500mwh-flow-battery-and-gigafactory-in-china/,https://vrbenergy.com/vrb-energy-announces-agreement-for-chinas-largest-solar-battery-a-100mw-solar-storage-project-in-hubei-province/,,"Vanadium flow battery, built in phases"
,,,509,,,,,,,,,,,,,,,,,,,,,
,,,510,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"If 20 projects are reached, can list it on the website",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
todo,,,,,,,,,,,,,,,,,,,,,,,,
https://staging.energy-storage.news/what-we-know-about-europes-largest-grid-connected-battery-project-so-far/,,,,,,,,,,,,,,,,,,,,,,,,
